name,city,population,latitude,longitude,map_latitude,map_longitude
Вінницька,Вінниця,1507738,49.2167,28.4333,49.06,28.61
Волинська,Луцьк,1020770,50.7478,25.3244,50.69,25.52
Дніпропетровська,Дніпр,3093151,48.4675,35.04,48.32,35.21
Донецька,Донецьк,4056405,48.0089,37.8042,47.76,37.83
Житомирська,Житомир,1177564,50.2544,28.6578,50.07,28.82
Закарпатська,Ужгород,1243721,48.6239,22.295,48.48,22.63
Запорізька,Запоріжжя,1636322,47.8378,35.1383,47.7,35.12
Івано-Франківська,Івано-Франківськ,1350565,48.9228,24.7106,48.73,24.79
Київська,Київ,4746244,50.45,30.5236,50.28,30.57
Кіровоградська,Кропивницький,902275,48.5103,32.2667,48.36,32.41
Луганська,Луганськ,2101653,48.5833,39.3333,48.42,39.26
Львівська,Львів,2476113,49.8419,24.0315,49.66,24.09
Миколаївська,Миколаїв,1090492,46.9667,32,46.89,31.97
Одеська,Одеса,2349749,46.4775,30.7326,46.38,30.74
Полтавська,Полтава,1350564,49.5744,34.5686,49.43,34.57
Рівненська,Рівне,1140902,50.6197,26.2514,50.48,26.25
Севастополь,Севастополь,340735,44.6,33.5333,44.6,33.5333
Автономна Республіка Крим,Сімферополь,1957801,44.9484,34.1,45.02,34.13
Сумська,Суми,1034364,50.9068,34.7992,50.79,34.77
Тернопільська,Тернопіль,1020953,49.5667,25.6,49.49,25.67
Харківська,Харків,2596250,50,36.2292,49.86,36.2
Херсонська,Херсон,1000370,46.6333,32.6,46.58,32.64
Хмельницька,Хмельницький,1227474,49.42,27,49.27,27.07
Черкаська,Черкаси,1159200,49.4444,32.0597,49.2,32.11
Чернівецька,Чернівці,889928,48.2908,25.9344,48.13,25.96
Чернігівська,Чернігів,957665,51.4939,31.2947,51.25,31.39
