ВРП;;;;;;;;;;;;
Name;UKRname;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Autonomous Republic of Crimea;Автономна Республіка Крим;;;;;;;44536;46393;;;
Vinnytsia Oblast;Вінницька;;;;;;;33024;36191;43990;59871;74411
Volyn Oblast;Волинська;;;;;;;20005;20622;24195;31688;35744
Dnipropetrovsk Oblast;Дніпропетровська;;;;;;;147970;152905;176540;215206;244478
Donetsk Oblast;Донецька;;;;;;;170775;164926;119983;115012;137500
Zhytomyr Oblast;Житомирська;;;;;;;24849;25676;29815;38425;47919
Zakarpattia Oblast;Закарпатська;;;;;;;21404;21400;24120;28952;32390
Zaporizhia Oblast;Запорізька;;;;;;;54828;54352;65968;89061;104323
Ivano-Frankivsk Oblast;Івано-Франківська;;;;;;;32286;33196;37643;45854;51404
Kyiv Oblast;Київська;;;;;;;69663;68931;79561;104030;128638
Kirovohrad Oblast;Кіровоградська;;;;;;;22056;25313;28758;38447;46021
Luhansk Oblast;Луганська;;;;;;;58767;55108;31393;23849;31356
Lviv Oblast;Львівська;;;;;;;61962;63329;72923;94690;114842
Mykolaiv Oblast;Миколаївська;;;;;;;29205;32030;35408;48195;57815
Odessa Oblast;Одеська;;;;;;;64743;69760;74934;99761;119800
Poltava Oblast;Полтавська;;;;;;;56580;58464;69831;95867;116272
Rivne Oblast;Рівненська;;;;;;;21795;22004;28724;35252;39469
Sumy Oblast;Сумська;;;;;;;24933;26765;30397;41567;46287
Ternopil Oblast;Тернопільська;;;;;;;17957;18085;21676;26656;31072
Kharkiv Oblast;Харківська;;;;;;;82223;85315;96596;124843;154871
Kherson Oblast;Херсонська;;;;;;;19357;20767;23250;32215;38743
Khmelnytskyi Oblast;Хмельницька;;;;;;;26237;26426;32162;41088;48859
Cherkasy Oblast;Черкаська;;;;;;;31265;33087;38466;50843;59412
Chernivtsi Oblast;Чернівецька;;;;;;;13166;13757;15049;18506;21239
Chernihiv Oblast;Чернігівська ;;;;;;;23934;24237;28156;36966;43362
Kyiv;м.Київ;;;;;;;275685;312552;357377;451700;559140
Sevastopol;м.Севастополь;;;;;;;9891;11066;;;
