зарплати млн грн;;;;;;;;;;;;;
Name;UKRname;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;
Autonomous Republic of Crimea;Автономна Республіка Крим;7200;9435;12095;12033;14890;17274;19822;21010;;;;
Vinnytsia Oblast;Вінницька;5381;7071;9191;9002;10977;12865;14685;15135;16045;19989;25692;
Volyn Oblast;Волинська;3010;3973;5104;5070;6198;7254;8197;8607;9013;11456;14970;
Dnipropetrovsk Oblast;Дніпропетровська;18927;26077;33930;33473;41445;48808;57168;57783;62314;73670;90735;
Donetsk Oblast;Донецька;25167;33809;44110;43330;53159;61728;72823;74002;61069;49263;61195;
Zhytomyr Oblast;Житомирська;4315;5865;7561;7378;8972;10505;11681;11935;12582;15659;20200;
Zakarpattia Oblast;Закарпатська;3392;4452;5716;5642;6861;7893;8942;9192;9704;12515;16403;
Zaporizhia Oblast;Запорізька;9336;12559;16345;16027;19583;23042;25922;25941;27727;33160;40415;
Ivano-Frankivsk Oblast;Івано-Франківська;3904;5267;6818;6580;7992;9214;10628;10873;11344;14240;18409;
Kyiv Oblast;Київська;7776;10586;14009;13884;17127;20668;24019;25054;26720;31923;41994;
Kirovohrad Oblast;Кіровоградська;3370;4398;5650;5595;6792;7853;9076;9331;9774;12214;15695;
Luhansk Oblast;Луганська;9912;13429;17351;17116;21257;25222;29327;29941;23388;16039;20930;
Lviv Oblast;Львівська;9828;13302;17285;17133;20840;24217;27648;28509;29869;37324;47911;
Mykolaiv Oblast;Миколаївська;4971;6545;8409;8300;10182;12083;13445;13704;14205;17585;22543;
Odessa Oblast;Одеська;9526;12764;16628;16593;20739;24546;28037;28916;30703;37560;47971;
Poltava Oblast;Полтавська;6755;8962;11534;11171;13678;15880;18196;19313;20487;24853;30844;
Rivne Oblast;Рівненська;3680;4830;6317;6154;7519;8862;10182;10692;11314;14013;17841;
Sumy Oblast;Сумська;4707;6266;8040;7711;9297;10613;11993;12284;12912;16029;20403;
Ternopil Oblast;Тернопільська;2793;3791;4895;4805;5789;6829;7748;7982;8493;10683;13825;
Kharkiv Oblast;Харківська;11874;16232;21493;21462;26066;30636;34606;35883;37690;44709;56206;
Kherson Oblast;Херсонська;3397;4457;5697;5593;6766;7947;8956;9061;9471;12021;15329;
Khmelnytskyi Oblast;Хмельницька;4216;5508;7053;7030;8604;10118;11281;11780;12461;15575;19948;
Cherkasy Oblast;Черкаська;4465;5961;7688;7683;9342;10895;12285;12632;13292;16454;20687;
Chernivtsi Oblast;Чернівецька;2303;3066;3936;3899;4732;5453;6090;6431;6719;8392;10924;
Chernihiv Oblast;Чернігівська;4065;5426;6989;6853;8355;9822;10957;11004;11468;14017;17721;
Kyiv;м.Київ;29139;42628;59562;62809;78716;94680;110813;118529;126258;150247;189535;
Sevastopol;м.Севастополь;1711;2309;2981;2974;3675;4226;4867;5210;;;;
